line_name,coord_x,coord_y,station_name,sequence
1路(中心血站--八道湾停车场),87.57372966328714,43.82961794634063,中心血站,1
1路(中心血站--八道湾停车场),87.57784627521438,43.83349563527677,儿童公园,2
1路(中心血站--八道湾停车场),87.58177881907643,43.835494378645166,医学院,3
1路(中心血站--八道湾停车场),87.58303041454742,43.84278531524108,汇展园,4
1路(中心血站--八道湾停车场),87.58077043104859,43.8461850420757,家佳乐超市,5
1路(中心血站--八道湾停车场),87.58191611938233,43.85147584090612,花园小区,6
1路(中心血站--八道湾停车场),87.58286073216567,43.85377371473057,天山砖厂,7
1路(中心血站--八道湾停车场),87.58412945095564,43.85724840499906,地磅,8
1路(中心血站--八道湾停车场),87.58524099465214,43.86041878404529,苏州路,9
1路(中心血站--八道湾停车场),87.58665558342987,43.86436768868832,红旗大队,10
1路(中心血站--八道湾停车场),87.58790000385693,43.86780415478977,便民站,11
1路(中心血站--八道湾停车场),87.5911208239547,43.87349130313966,西八家户,12
1路(中心血站--八道湾停车场),87.60955652733043,43.874161143123686,红光山,13
1路(中心血站--八道湾停车场),87.61522317335437,43.87410891526946,会展中心,14
1路(中心血站--八道湾停车场),87.62722061144704,43.876663762307516,绿地中心,15
1路(中心血站--八道湾停车场),87.6314193547686,43.877712860239,红光山路,16
1路(中心血站--八道湾停车场),87.63534004244927,43.87761618109877,七道湾邮政支局,17
1路(中心血站--八道湾停车场),87.63949357222982,43.880658650597056,七道湾市场,18
1路(中心血站--八道湾停车场),87.63952814755677,43.8874817635525,五队,19
1路(中心血站--八道湾停车场),87.64518897216865,43.888079809804886,振安街,20
1路(中心血站--八道湾停车场),87.65530840627976,43.88949963042563,鸿园北路,21
1路(中心血站--八道湾停车场),87.66396333419968,43.8869947516521,八道湾停车场,22
1路(八道湾停车场--中心血站),87.66398527725411,43.88704273900738,八道湾停车场,1
1路(八道湾停车场--中心血站),87.65561167772377,43.88946404659036,鸿园北路,2
1路(八道湾停车场--中心血站),87.64518896946903,43.88813184169774,振安街,3
1路(八道湾停车场--中心血站),87.63937349642838,43.88691065883444,五队,4
1路(八道湾停车场--中心血站),87.6392599905237,43.88188376688377,七道湾市场,5
1路(八道湾停车场--中心血站),87.63516237727447,43.87777754260766,七道湾邮政支局,6
1路(八道湾停车场--中心血站),87.63101606769082,43.87787451273722,红光山路,7
1路(八道湾停车场--中心血站),87.62676535152445,43.876642318161565,绿地中心,8
1路(八道湾停车场--中心血站),87.61536201414097,43.87425688678684,会展中心,9
1路(八道湾停车场--中心血站),87.60673256027195,43.87434087389638,红光山,10
1路(八道湾停车场--中心血站),87.59045669948468,43.87243855660979,西八家户,11
1路(八道湾停车场--中心血站),87.58802202813924,43.86837653506292,便民站,12
1路(八道湾停车场--中心血站),87.58625141731598,43.86343998726292,红旗大队,13
1路(八道湾停车场--中心血站),87.58532001739357,43.86090210556199,苏州路,14
1路(八道湾停车场--中心血站),87.58433554248035,43.858130025055004,地磅,15
1路(八道湾停车场--中心血站),87.58314489496672,43.85468240045014,天山砖厂,16
1路(八道湾停车场--中心血站),87.58203019965455,43.85168602926532,花园小区,17
1路(八道湾停车场--中心血站),87.58062528351601,43.84659319301959,家佳乐超市,18
1路(八道湾停车场--中心血站),87.58332867079093,43.84199200066964,汇展园,19
1路(八道湾停车场--中心血站),87.58165673654126,43.835166117958074,医学院,20
1路(八道湾停车场--中心血站),87.57774715936668,43.833731698317024,儿童公园,21
1路(八道湾停车场--中心血站),87.57440158203083,43.82833982185365,中心血站,22
10路(火车南站--大湾),87.58604358464133,43.77885364133798,火车南站,1
10路(火车南站--大湾),87.5915596104101,43.78095617369023,长江路,2
10路(火车南站--大湾),87.59451803815654,43.78036404895689,钱塘江路,3
10路(火车南站--大湾),87.59814485903648,43.7796994064473,建机厂,4
10路(火车南站--大湾),87.60665049659055,43.778070662167266,团结路,5
10路(火车南站--大湾),87.61117406969028,43.777651702565265,二道桥,6
10路(火车南站--大湾),87.61976280110757,43.77464674686405,六中,7
10路(火车南站--大湾),87.62291257169201,43.772576287663085,陶瓷厂,8
10路(火车南站--大湾),87.62683568844365,43.77014836044077,艺术学院,9
10路(火车南站--大湾),87.62921190564943,43.76691961156418,向阳坡,10
10路(火车南站--大湾),87.63260909172554,43.762842833579555,中环路,11
10路(火车南站--大湾),87.6360884293253,43.76410141554755,一队,12
10路(火车南站--大湾),87.6413264362576,43.770401530843124,二队,13
10路(火车南站--大湾),87.64236217258879,43.77155244624061,大湾,14
10路(大湾--火车南站),87.64188220042946,43.7715002068278,大湾,1
10路(大湾--火车南站),87.63811429027774,43.7662814629788,二队,2
10路(大湾--火车南站),87.63561636334943,43.763814972667035,一队,3
10路(大湾--火车南站),87.63314911975534,43.76236481666819,中环路,4
10路(大湾--火车南站),87.62909808735539,43.76716388990558,向阳坡,5
10路(大湾--火车南站),87.62576136027587,43.770890072648065,艺术学院,6
10路(大湾--火车南站),87.62213465284272,43.77318447146175,陶瓷厂,7
10路(大湾--火车南站),87.61801994026322,43.77589012049105,六中,8
10路(大湾--火车南站),87.61118404811394,43.77790383091199,二道桥,9
10路(大湾--火车南站),87.60749692638046,43.778230298345505,团结路,10
10路(大湾--火车南站),87.59777789736448,43.78005465245994,建机厂,11
10路(大湾--火车南站),87.5943150111794,43.78068422048724,钱塘江路,12
10路(大湾--火车南站),87.58792740455168,43.78108747520542,长江路,13
10路(大湾--火车南站),87.58457964256979,43.78024178826624,火车南站,14
12路(老年福利院--机械厂),87.45122259087933,43.93388047616349,老年福利院,1
